City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,saucillo,28.0167,-105.2833,25.01,7,0,14.99,MX,1712696052
119,dalandzadgad,43.5708,104.425,7.9,29,1,3.07,MN,1712696052
120,glace bay,46.1969,-59.957,2.72,73,75,12.86,CA,1712696052
121,brookings,44.3114,-96.7984,16.21,46,40,7.72,US,1712695857
122,velikiye luki,56.34,30.5452,15.18,92,18,0.65,RU,1712696053
123,corinto,37.9407,22.9573,16.8,49,0,0.82,GR,1712696053
124,turkmenbasy,40.0222,52.9552,11.43,82,0,1.03,TM,1712695878
125,jampur,29.6441,70.5954,28.41,11,80,1.89,PK,1712696053
126,el charco,2.4769,-78.1105,29.13,74,59,3.78,CO,1712696053
127,coquimbo,-29.9533,-71.3436,15.85,88,40,5.14,CL,1712696036
128,battlefield,37.1156,-93.3702,21.12,54,100,3.13,US,1712696053
129,whitehorse,60.7161,-135.0538,5.61,35,75,5.14,CA,1712696053
130,asipovichy,53.2933,28.6422,14.46,68,15,2.31,BY,1712696053
131,wanning,18.8003,110.3967,25.06,94,100,1.82,CN,1712696054
132,tadine,-21.55,167.8833,26.52,84,84,4.65,NC,1712696054
133,la passe,45.5549,-0.8967,10.55,78,7,5.46,FR,1712696054
134,porto velho,-8.7619,-63.9039,33.03,58,40,1.54,BR,1712695936
135,howard springs,-12.497,131.047,23.95,75,92,2.64,AU,1712696054
136,esmeralda,21.8525,-78.1169,28.72,45,55,5.43,CU,1712696054
137,saipan,15.1355,145.701,27.39,83,40,8.75,MP,1712696054
138,portland,45.5234,-122.6762,18.64,69,75,3.6,US,1712695499
139,lop buri,14.7981,100.654,29.13,65,79,1.33,TH,1712696054
140,rabak,13.1809,32.74,30.28,7,50,6.55,SD,1712696054
141,iskateley,67.6803,53.1512,-8.32,85,100,2.24,RU,1712696054
142,maumere,-8.6199,122.2111,26.35,82,97,0.93,ID,1712696055
143,kirkwood,38.5834,-90.4068,23.16,42,75,2.24,US,1712695979
144,lebu,-37.6167,-73.65,11.89,68,85,10.0,CL,1712696055
145,caconda,-13.7333,15.0667,16.69,92,100,1.07,AO,1712696055
146,atafu village,-8.5421,-172.5159,30.26,74,90,7.33,TK,1712696055
147,poronaysk,49.2167,143.1167,-0.38,68,79,3.11,RU,1712696055
148,daru,-9.0763,143.2092,25.7,89,100,2.83,PG,1712696055
149,tsiombe,-25.3,45.4833,23.36,97,100,0.67,MG,1712696055
150,kovdor,67.5662,30.4758,0.62,96,100,2.49,RU,1712695984
151,vilyuysk,63.7553,121.6247,-11.67,97,58,2.68,RU,1712696055
152,al ghayzah,16.2079,52.176,26.55,73,100,4.03,YE,1712696055
153,nogliki,51.8333,143.1667,-3.14,90,13,2.24,RU,1712696056
154,san fernando,15.0286,120.6898,27.85,83,95,1.84,PH,1712696056
155,klyuchi,52.2667,79.1667,5.8,93,100,3.69,RU,1712696056
156,vilyuchinsk,52.9306,158.4028,3.29,99,100,2.51,RU,1712696056
157,acajutla,13.5928,-89.8275,30.97,62,90,4.31,SV,1712696056
158,plouzane,48.3833,-4.6167,10.03,84,75,4.12,FR,1712696056
159,lospalos,-8.5186,127.0025,21.88,91,26,0.75,TL,1712696056
160,weinan,34.5036,109.5089,17.45,54,100,0.49,CN,1712696056
161,rawson,-43.3002,-65.1023,14.55,25,15,5.77,AR,1712695850
162,tchintabaraden,15.8969,5.7985,31.14,15,100,2.6,NE,1712696056
163,nosy varika,-20.5833,48.5333,23.81,86,22,4.21,MG,1712696057
164,zeya,53.75,127.2667,1.94,53,100,2.39,RU,1712696057
165,mahina,-17.5065,-149.489,29.87,79,75,2.06,PF,1712696057
166,sitka,57.0531,-135.33,7.94,61,75,2.57,US,1712696057
167,praia da vitoria,38.7333,-27.0667,18.14,88,75,10.51,PT,1712696057
168,natal,-5.795,-35.2094,28.36,89,75,3.09,BR,1712695611
169,moengo,5.6167,-54.4,29.45,59,98,2.49,SR,1712696057
170,roccella ionica,38.322,16.4009,17.25,66,93,2.81,IT,1712696057
171,yetkul',54.8221,61.588,3.53,91,96,5.36,RU,1712696057
172,alice springs,-23.7,133.8833,13.45,67,3,2.57,AU,1712696058
173,terra santa,-2.1042,-56.4869,25.3,92,100,0.57,BR,1712696058
174,utrik,11.2278,169.8474,26.82,85,99,9.39,MH,1712696058
175,gilgit,35.9221,74.3087,4.72,45,100,1.26,PK,1712696058
176,georgetown,5.4112,100.3354,28.3,91,20,1.03,MY,1712695687
177,marrakesh,31.6315,-8.0083,22.04,40,0,4.63,MA,1712695963
178,papatowai,-46.5619,169.4708,14.34,85,100,1.78,NZ,1712696058
179,mbuguni,-3.5667,36.95,21.45,89,100,1.28,TZ,1712696058
180,st. john's,47.5649,-52.7093,0.93,93,100,9.77,CA,1712695873
181,lerwick,60.1545,-1.1494,6.0,88,100,8.7,GB,1712696058
182,enewetak,11.3474,162.3373,27.16,80,100,9.87,MH,1712696058
183,odienne,9.51,-7.5692,27.94,58,100,1.44,CI,1712696059
184,cuenca,-2.8833,-78.9833,20.07,52,75,5.14,EC,1712695804
185,ginir,7.1333,40.7,16.63,81,5,1.63,ET,1712696059
186,tamiahua,21.2667,-97.45,30.27,62,94,6.84,MX,1712696059
187,turpan,42.9333,89.1667,21.37,17,13,3.1,CN,1712696059
188,aasiaat,68.7098,-52.8699,-8.7,85,100,2.57,GL,1712696059
189,aswan,24.0934,32.907,25.61,20,0,4.63,EG,1712696059
190,xining,36.6167,101.7667,4.36,83,100,1.28,CN,1712696059
191,eydhafushi,5.1033,73.0708,29.01,75,85,3.65,MV,1712696059
192,rio claro,-22.4114,-47.5614,22.42,85,11,0.61,BR,1712696059
193,shache,38.4167,77.2406,16.16,21,93,3.41,CN,1712696060
194,acaponeta,22.4964,-105.3594,32.47,20,2,4.9,MX,1712696060
195,dingzhou,38.5131,114.9956,9.06,38,100,1.48,CN,1712696060
196,colonia,50.9333,6.95,11.09,73,20,4.63,DE,1712695832
197,olyokminsk,60.3736,120.4264,-8.61,99,87,0.62,RU,1712696060
198,paita,-5.0892,-81.1144,24.75,71,22,6.44,PE,1712696060
199,charters towers,-20.1,146.2667,19.69,53,88,5.51,AU,1712696060
200,hotan,37.0997,79.9269,15.45,13,72,4.54,CN,1712696060
201,laguna,38.421,-121.4238,24.05,43,0,1.54,US,1712696052
202,bel ombre,-4.6167,55.4167,28.91,79,40,3.6,SC,1712696061
203,nemuro,43.3236,145.575,0.29,74,8,7.25,JP,1712696061
204,fatehpur,25.9333,80.8,27.35,22,89,3.41,IN,1712696061
205,hawaiian paradise park,19.5933,-154.9731,23.35,86,100,1.54,US,1712696061
206,vanimo,-2.6741,141.3028,25.43,92,99,2.95,PG,1712696061
207,rio grande,-32.035,-52.0986,28.06,81,68,5.14,BR,1712696061
208,lihue,21.9789,-159.3672,25.58,71,0,7.2,US,1712696061
209,manokwari,-0.8667,134.0833,25.76,82,83,2.03,ID,1712696061
210,sima,53.9202,102.0442,0.13,81,49,4.16,RU,1712696061
211,ribeira grande,38.5167,-28.7,17.65,94,75,10.73,PT,1712696061
212,geraldton,-28.7667,114.6,22.23,40,0,7.2,AU,1712696062
213,les cayes,18.2,-73.75,27.8,75,72,5.0,HT,1712696062
214,olinda,-8.0089,-34.8553,27.85,89,75,3.6,BR,1712696062
215,dhidhdhoo,6.8833,73.1,29.32,72,28,3.35,MV,1712696062
216,sakai-nakajima,36.2667,139.25,4.39,53,0,3.91,JP,1712696062
217,chonchi,-42.6128,-73.8092,12.56,68,80,3.03,CL,1712696062
218,afaahiti,-17.75,-149.2833,28.93,83,100,5.37,PF,1712696062
219,khandyga,62.6667,135.6,-8.82,96,100,0.27,RU,1712696062
220,saldanha,-33.0117,17.9442,16.03,93,5,7.03,ZA,1712696062
221,balqash,46.8481,74.995,6.89,76,100,6.0,KZ,1712696062
222,kabare,-2.4683,28.8242,16.76,95,69,0.97,CD,1712696063
223,santa ana,33.7456,-117.8678,29.8,23,0,4.12,US,1712695933
224,island harbour,50.724,-1.2758,10.04,71,8,2.24,GB,1712696063
225,soio,-6.1349,12.3689,27.27,86,98,2.37,AO,1712696063
226,san jeronimo de juarez,17.1333,-100.4667,30.11,54,97,4.15,MX,1712696063
227,akureyri,65.6835,-18.0878,-0.04,69,75,2.06,IS,1712696063
228,raja,8.4596,25.678,28.09,25,8,1.53,SS,1712696063
229,tangping,22.0265,111.9323,22.29,83,100,2.55,CN,1712696063
230,qaqortoq,60.7167,-46.0333,-2.38,77,0,1.51,GL,1712696063
231,ust'-barguzin,53.45,108.9833,-7.26,86,34,2.01,RU,1712696064
232,kodiak,57.79,-152.4072,-3.27,54,75,2.57,US,1712696064
233,big spring,32.2504,-101.4787,10.25,84,100,6.69,US,1712696064
234,concepcion,-36.827,-73.0498,17.89,55,0,6.17,CL,1712695909
235,vylkove,45.4021,29.586,12.41,64,4,1.94,UA,1712696064
236,ruteng,-8.6136,120.4721,18.0,95,100,0.58,ID,1712696064
237,puerto lempira,15.2667,-83.7667,31.08,66,40,1.03,HN,1712696064
238,kinablangan,7.6947,126.5503,24.12,82,98,1.82,PH,1712696064
239,gorontalo,0.5412,123.0595,21.54,95,100,1.82,ID,1712696064
240,pacov,49.4708,15.0017,8.34,86,100,9.04,CZ,1712696064
241,ebon,4.582,168.6964,28.17,82,95,8.72,MH,1712696065
242,yermakovskoye,53.2831,92.4003,11.4,74,100,5.47,RU,1712696065
243,hithadhoo,-0.6,73.0833,28.84,76,78,3.08,MV,1712696065
244,ust-tsilma,65.441,52.1498,-7.99,95,99,2.68,RU,1712696065
245,peace river,56.2501,-117.286,9.17,34,75,11.32,CA,1712696065
246,invercargill,-46.4,168.35,12.79,95,100,0.89,NZ,1712695845
247,moranbah,-22.0016,148.0466,18.76,48,5,5.03,AU,1712696065
248,brisas de zicatela,15.8369,-97.0419,29.75,55,24,3.41,MX,1712696065
249,colac,-38.3333,143.5833,12.13,90,85,2.28,AU,1712696065
250,houmt el souk,33.8758,10.8575,18.97,88,20,6.17,TN,1712696065
251,medicine hat,50.0501,-110.6683,14.84,32,75,5.66,CA,1712695204
252,dunedin,-45.8742,170.5036,15.45,98,100,2.69,NZ,1712695776
253,tromso,69.6496,18.957,3.01,87,75,0.0,NO,1712696066
254,hadithah,34.1397,42.3781,21.73,54,36,8.09,IQ,1712696066
255,itaituba,-4.2761,-55.9836,30.09,74,20,1.03,BR,1712695879
256,lukolela,-1.0605,17.1821,23.59,91,91,1.06,CD,1712696066
257,ouadda,8.0777,22.4007,28.81,33,93,0.64,CF,1712696066
258,santa ana hueytlalpan,20.1833,-98.3,29.79,16,87,0.99,MX,1712696066
259,aban,56.67,96.06,3.46,94,100,3.27,RU,1712696066
260,suntar,62.1444,117.6319,-13.57,97,62,2.28,RU,1712696066
261,soanierana ivongo,-16.9167,49.5833,23.74,91,60,1.47,MG,1712696067
262,tangalle,6.024,80.7911,25.38,82,34,4.2,LK,1712696067
263,micheweni,-4.9667,39.8333,27.2,85,89,4.99,TZ,1712696067
264,hsinchu,24.8036,120.9686,22.7,85,83,0.89,TW,1712696067
265,bekovo,52.4663,43.712,13.33,78,77,3.0,RU,1712696067
266,kyzyl-mazhalyk,51.1333,90.6,8.84,62,100,1.34,RU,1712696067
267,santana,-0.0583,-51.1817,28.1,83,75,2.06,BR,1712696067
268,okhotsk,59.3833,143.3,-6.71,77,5,8.0,RU,1712696067
269,ilulissat,69.2167,-51.1,-6.99,73,40,2.06,GL,1712696067
270,iranshahr,27.2025,60.6848,27.19,26,0,0.0,IR,1712696068
271,nampula,-15.1165,39.2666,22.72,90,79,1.3,MZ,1712696068
272,enshi,30.3,109.4833,15.33,94,100,0.17,CN,1712696068
273,bodo,67.28,14.405,7.02,61,0,2.57,NO,1712696068
274,bamenda,5.9527,10.1582,19.56,91,75,1.87,CM,1712696068
275,vienenburg,51.95,10.5667,11.61,87,100,5.58,DE,1712696068
276,yozgat,39.5833,35.3333,10.79,74,100,1.55,TR,1712696068
277,touros,-5.1989,-35.4608,27.05,85,100,3.47,BR,1712696028
278,severo-yeniseyskiy,60.3725,93.0408,0.88,91,100,3.13,RU,1712696068
279,saint-denis,48.9167,2.3333,9.27,74,0,5.14,FR,1712696068
280,bom jesus,-9.0744,-44.3586,30.11,51,74,0.33,BR,1712696068
281,hammerfest,70.6634,23.6821,0.25,86,75,7.72,NO,1712696069
282,quellon,-43.1167,-73.6167,10.24,71,11,4.85,CL,1712695940
283,juegang,32.3174,121.1855,9.57,74,99,3.64,CN,1712696069
284,parbhani,19.2667,76.7833,30.33,40,97,3.98,IN,1712696069
285,jerez de garcia salinas,22.65,-103.0,26.09,12,0,14.34,MX,1712696069
286,jayapura,-2.5333,140.7,23.66,94,100,2.36,ID,1712696069
287,laojunmiao,39.8333,97.7333,7.07,19,0,2.86,CN,1712696069
288,udachny,66.4167,112.4,-1.97,78,100,8.18,RU,1712696069
289,badr hunayn,23.7829,38.7905,25.35,30,79,1.96,SA,1712696070
290,markovo,57.3206,107.0881,-10.08,97,56,1.71,RU,1712696070
